City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
573,Buza,RO,46.9,24.15,39.27,93,98,4.29,overcast clouds
574,Fare,PF,-16.7,-151.0167,80.76,76,100,19.89,light rain
575,Boden,SE,65.8252,21.6886,6.8,95,76,3.0,broken clouds
576,Talaya,RU,61.3833,152.75,-36.83,98,90,3.44,overcast clouds
577,Flin Flon,CA,54.7682,-101.865,13.84,92,90,6.91,light snow
578,Salinopolis,BR,-0.6136,-47.3561,86.18,65,100,11.56,overcast clouds
579,Te Anau,NZ,-45.4167,167.7167,52.66,89,37,0.4,scattered clouds
580,Tokur,RU,53.1333,132.9,-23.01,100,72,1.54,broken clouds
581,Buraydah,SA,26.326,43.975,63.05,15,28,7.67,scattered clouds
582,Santiago,CL,-33.4569,-70.6483,82.17,32,0,8.05,clear sky
583,Ximei,CN,24.9639,118.3794,58.95,73,5,4.36,clear sky
584,Tual,ID,-5.6667,132.75,84.11,72,100,6.96,moderate rain
585,Karratha,AU,-20.7377,116.8463,85.69,31,3,12.39,clear sky
586,Tromso,NO,69.6496,18.957,30.22,80,90,1.01,light shower snow
587,Soyo,AO,-6.1349,12.3689,75.25,89,100,2.64,overcast clouds
588,Charters Towers,AU,-20.1,146.2667,76.82,75,0,5.53,clear sky
589,Shelabolikha,RU,53.4131,82.6167,22.46,86,12,5.61,few clouds
590,Meulaboh,ID,4.1363,96.1285,76.17,88,57,4.12,broken clouds
591,Tanout,NE,14.9709,8.8879,78.93,14,53,11.68,broken clouds
592,Champerico,GT,14.3,-91.9167,92.77,59,8,5.41,clear sky
593,Saint Andrews,US,34.0454,-81.1293,70.66,42,20,3.0,few clouds
594,Sturgis,US,41.7992,-85.4192,45.32,46,90,11.5,overcast clouds
595,Point Pleasant,US,40.0832,-74.0682,53.11,48,1,3.0,clear sky
596,Puerto Madero,MX,14.7208,-92.4215,89.8,55,1,8.05,clear sky
597,Mangai,CD,-4.05,19.5333,69.31,99,96,1.59,overcast clouds
