City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Raton,US,2021-11-10 18:01:57,36.9034,-104.4391,59.05,25,90,1.01
173,Bergen,NO,2021-11-10 18:04:16,60.392,5.328,49.64,82,20,9.22
174,Mahebourg,MU,2021-11-10 18:04:16,-20.4081,57.7,74.25,73,20,7.94
175,Norman Wells,CA,2021-11-10 18:04:16,65.282,-126.8329,21.16,80,99,13.2
176,Victor Harbor,AU,2021-11-10 18:04:17,-35.5667,138.6167,55.0,68,78,1.99
177,Iqaluit,CA,2021-11-10 18:00:40,63.7506,-68.5145,14.7,85,100,11.99
178,Warren,US,2021-11-10 18:03:58,39.4334,-84.1666,66.88,67,90,1.01
179,China,MX,2021-11-10 18:04:17,25.7,-99.2333,78.87,59,88,7.36
180,Port Elizabeth,ZA,2021-11-10 18:04:18,-33.918,25.5701,63.1,83,44,9.26
181,Tuktoyaktuk,CA,2021-11-10 18:04:18,69.4541,-133.0374,23.0,93,90,13.8
182,Mabaruma,GY,2021-11-10 18:04:18,8.2,-59.7833,87.67,51,75,7.29
183,Dunmore Town,BS,2021-11-10 18:05:19,25.5,-76.65,77.81,65,51,16.58
184,Deputatskiy,RU,2021-11-10 18:05:19,69.3,139.9,3.42,96,100,2.24
185,Puerto Ayora,EC,2021-11-10 18:05:20,-0.7393,-90.3518,76.96,78,80,10.56
186,Caravelas,BR,2021-11-10 18:05:20,-17.7125,-39.2481,78.44,72,99,6.4
187,Sao Filipe,CV,2021-11-10 18:05:20,14.8961,-24.4956,77.05,72,31,3.11
188,Fortuna,US,2021-11-10 18:05:21,40.5982,-124.1573,56.93,85,90,8.99
189,Dunedin,NZ,2021-11-10 18:00:50,-45.8742,170.5036,57.79,90,91,3.24
190,Great Yarmouth,GB,2021-11-10 18:05:21,52.6083,1.7305,54.45,90,100,1.19
191,Ulaanbaatar,MN,2021-11-10 18:05:22,47.9077,106.8832,6.93,78,0,2.24
